CaneID,30-Aug,4-Sep,9-Sep,12-Sep,16-Sep,19-Sep,23-Sep,26-Sep,30-Sep,3-Oct,7-Oct,x
1354,,,,,0,0,1,4,12,12,16,
1355,,,,,0,0,3,5,12,18,21,
1356,,1,,,0,0,4,10,19,22,x,
1357,,,,,0,1,6,10,18,22,x,
1358,,,,,0,0,0,0,9,11,14,
1359,,,,,0,2,5,5,8,11,14,x
1360,,,,,0,6,13,16,17,20,x,
1361,,,,,0,0,3,5,12,18,x,
1362,,,,,0,0,1,2,12,16,18,
1363,,,,,0,0,3,4,13,20,24,
1364,,,,,0,0,0,3,17,21,24,
1365,,,,,0,1,7,12,17,19,20,x
1366,,,,1,1,5,6,7,11,13,17,
1367,,,3,5,11,21,25,25,25,x,,
1368,,,,,0,1,4,4,9,15,17,
1369,,,1,1,3,9,15,21,26,26,27,
1370,,,,,0,0,0,1,11,14,16,
1371,,,,,0,1,4,7,17,23,x,
1372,,,,2,2,2,3,3,7,11,13,
1373,,,,6,11,19,23,23,x,,,
1374,,,,,0,0,9,19,25,27,x,
1375,,,,,1,1,1,3,18,23,23,
1376,,,,,0,0,1,1,11,15,17,
1377,,,,,0,0,4,7,17,18,22,x
1378,,,,2,2,2,7,9,16,x,,
1379,,,,,0,0,1,3,9,13,17,
1380,,,,,0,0,2,3,7,13,17,
1381,,,1,6,7,8,12,15,17,18,x,
1382,,,1,5,5,5,6,10,11,11,x,
1383,,,,1,2,7,20,23,24,26,x,
1384,,,,,0,1,5,5,7,10,x,
1385,,,1,1,1,1,1,5,15,20,21,
1386,,,,,0,0,5,7,11,12,x,
1387,,,,2,5,12,25,28,31,x,,
1388,,,,,0,0,0,1,9,11,13,
1389,,,,,0,0,0,1,8,13,16,x
1390,,,,,0,0,1,3,13,18,20,
1391,,,1,,0,0,0,1,16,24,27,
1392,,,,,0,0,0,3,18,24,25,
1393,,,,,0,1,2,2,12,19,x,
1394,,,1,2,2,4,7,14,23,x,,
1395,,,,,0,1,1,3,13,14,x,
1396,,,,1,1,2,7,16,23,26,x,
1397,,,2,2,2,2,3,8,9,9,10,
1398,,,,2,2,6,8,9,10,10,11,x
1399,,,,3,4,6,15,15,20,x,,
1400,,,,,1,1,1,4,7,11,15,
1401,,,,,0,0,1,3,12,18,19,
1402,,,,,0,2,2,5,12,14,17,x
1403,,,,,0,1,1,5,14,20,x,
1404,,,4,10,10,18,25,27,27,x,,
1405,,,,,0,1,1,5,15,15,19,
1406,,,,1,1,1,2,5,9,12,x,
1407,,,,,1,1,2,4,9,10,12,
1408,,,,,0,0,0,0,4,7,10,
1409,,,,,0,0,1,1,12,22,26,
1410,,,,,0,0,8,13,33,38,x,
1411,,,,,0,2,17,21,27,30,x,
1412,,,,,3,7,9,12,x,,,
1413,,,,4,7,8,9,9,x,,,
1414,,,,,0,0,4,7,13,x,,
1415,,,,,0,0,1,4,14,21,22,x
1416,,,,1,1,2,2,2,10,14,17,
1417,,,,,0,0,0,6,20,x,,
1418,,,,,0,0,1,3,7,16,18,x
1419,,,,,0,1,1,2,9,11,12,
1420,,1,1,1,1,2,16,22,27,x,,
1421,,,,,0,0,0,5,16,x,,
1422,,,,,0,0,2,5,24,x,,
1423,,,2,7,16,19,23,24,x,,,
1424,,,1,1,1,2,6,6,15,16,20,
1425,,,,,0,2,11,17,20,x,,
1426,,,,,0,0,3,3,7,15,x,
1427,,,,,0,1,2,8,14,16,x,
1428,,,,,0,0,1,5,12,14,19,x
1429,,,,,0,0,3,3,17,20,21,
1430,,,,,0,1,3,4,9,12,15,
1431,,,,,0,0,0,3,8,9,13,x
1432,,,,,0,0,0,0,8,14,14,
1433,,,,,0,0,10,10,16,18,20,x
1434,,,,1,1,2,7,7,12,14,x,
1435,,,,,2,3,14,17,21,x,,
1436,,,,,0,2,6,7,14,x,,
1437,,,,1,1,3,12,13,16,x,,
1438,,,,,0,0,1,2,16,18,21,x
1439,,,,,0,0,5,6,10,12,x,
1440,,,,,0,2,5,5,16,x,,
1441,,,2,3,4,8,11,11,12,x,,
1442,,,,1,2,2,9,13,20,x,,
1443,,,1,1,1,2,6,10,12,x,,
1444,,,,,0,1,7,8,15,16,19,x
1445,,,1,1,1,1,9,12,14,16,x,
1446,,,1,2,3,7,13,13,15,20,21,x
1447,,,,,1,2,4,7,12,14,17,
1448,,,,,0,1,4,8,13,x,,
1449,,,1,1,7,11,15,15,x,,,
1450,,,,,0,0,1,2,4,8,8,
1451,,,,,0,0,5,8,16,x,,
1452,,,,,0,0,2,5,15,19,x,
1453,,,,,0,0,0,1,12,18,20,
1454,,,,,0,2,6,9,17,24,26,
1455,,,,,0,3,14,17,19,x,,
1456,,2,5,8,12,19,21,22,x,,,
1457,,,1,2,4,6,8,9,10,x,,
1458,,,,,0,0,6,12,20,x,,
1459,,,,,0,0,0,2,13,16,20,
1460,,,,,0,0,1,2,17,20,22,
1461,,,,,0,0,3,5,8,13,15,
1462,,,,,0,0,1,10,19,23,24,
1463,,,,,0,0,0,3,9,12,16,
1464,,,,,0,0,2,2,13,19,19,
1465,,,,2,12,18,30,30,x,,,
1466,,,,,0,0,1,1,15,17,17,
1467,,,,,0,0,1,3,16,21,x,
1468,,,,,0,0,1,8,18,21,x,
1469,,,,,0,3,13,13,21,x,,
1470,,,,,0,0,7,9,13,18,x,
1471,,,,3,5,7,9,10,10,14,14,
1472,,,,,0,0,1,4,11,12,14,x
1473,,,,,0,0,0,3,11,16,x,
1474,,,,1,2,4,11,14,19,23,x,
1475,,,,,2,3,4,6,12,17,20,
1476,,,1,7,9,14,19,19,24,x,,
1477,,,,,1,1,2,5,5,10,10,
1478,,,,,0,0,1,6,16,20,x,
1479,,,,,0,0,2,2,6,12,16,
1480,,,,,0,0,0,0,5,13,15,
