CaneNo,12-Sep,16-Sep,19-Sep,23-Sep,26-Sep,30-Sep,03-Oct,07-Oct,10-Oct,14-Oct,17-Oct,21-Oct,24-Oct,29-Oct,31-Oct,04-Nov,07-Nov,11-Nov,18-Nov,25-Nov
1150,0,0,0,0,2,6,10,10,11,11,11,11,11,11,11,11,11,11,11,13
1151,0,0,0,0,0,1,1,1,2,2,2,3,2,3,3,4,4,4,5,6
1152,0,0,0,0,0,0,0,5,5,7,7,9,9,9,9,10,10,10,12,10
1153,0,0,0,0,0,0,1,1,1,1,1,3,4,5,5,5,5,5,5,5
1154,0,0,0,0,0,0,1,1,1,2,2,2,3,7,7,9,10,10,10,10
1155,0,0,0,0,0,0,0,1,6,6,6,6,6,6,6,7,8,8,8,8
1156,0,0,0,0,0,0,0,1,1,1,3,3,5,6,6,7,8,8,8,8
1157,0,0,0,0,0,0,0,0,0,1,1,4,7,10,10,10,10,10,10,10
1158,0,0,0,0,0,0,1,1,1,2,2,2,2,2,3,6,6,6,8,8
1159,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,4,5,5,9,9
1160,0,0,0,0,0,1,1,1,2,2,2,2,2,2,4,5,6,6,7,7
1161,0,0,0,0,0,5,8,8,8,9,9,9,9,9,9,9,9,9,9,9
1162,0,0,0,0,0,0,2,3,3,5,5,5,5,6,6,7,7,7,7,7
1163,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,3,3,4,4
1164,0,0,0,0,0,1,1,4,4,5,5,6,6,6,6,6,6,6,6,6
1165,0,0,0,0,0,0,0,0,0,2,4,4,4,5,5,6,7,7,7,7
1166,0,0,1,1,2,6,9,11,11,11,11,11,11,11,11,11,11,11,13,13
1167,0,0,0,0,0,0,0,3,3,4,4,6,6,7,7,7,7,7,7,7
1168,0,0,0,0,1,1,1,1,2,4,6,6,7,7,7,8,8,8,10,10
1169,0,0,1,1,1,1,1,1,1,1,1,2,3,6,6,7,7,7,11,11
1170,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3,4,4,4,6,6
1171,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,6,6
1172,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3,3,5,5
1173,0,0,0,0,1,1,1,1,1,2,2,2,2,5,5,5,7,8,8,8
1174,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,4,4
1175,0,0,0,0,0,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6
1176,0,0,0,0,1,1,1,1,1,1,1,3,5,5,5,5,5,5,7,7
1177,0,0,0,0,2,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7
1178,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,7,7,7,7,7
1179,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,5,5,5,5,5
1180,0,0,0,0,1,1,1,1,1,1,3,6,8,8,9,9,9,9,12,14
