,coy,Treatment
110,",566.64.7665.7560363783775l42",2% AB                                                M
111,",4555565666567677l48",Budup 2% + AB 2%                         L
112,",554..424545564.46466.6545566l89",Budup 1% + AB 2%                        E
113,",54734.5456646.5445455763026l44",Budup 4% + AB 2%                         L
114,",3556576264554663545435l43",3% HiCane                                        L
115,",451324.0423503.0061.0l1",Budup 6% + AB 2%                       VL
116,",423354433440.4045l13",Budup 6% + AB 2%                         L
117,",1511140404.02212611007l3",Budup 1% + AB 2%                       VL
118,",454434.5544l29",Budup 2% + AB 2%                        E
119,",344434444.4.344.46455.6.54.5l65",Budup 4% + AB 2%                        E
120,",568376.76.57156l32",Untreated control
121,",665.6.5545465065l17",2% AB                                                M
122,",.54.454.55.5.675665l65",Budup 4% + AB 2%                        E
123,",43244.42554555..16.2l43",Budup 6% + AB 2%                        E
124,",6756.6456.55.6.45.5l57",Budup 2% + AB 2%                        E
125,",4454.5.25566.5l31",Untreated control
126,",32205024.54044121353l1",Budup 4% + AB 2%                       VL
127,",34455.65.15.6535l26",Budup 2% + AB 2%                        M
128,",43450522505401101024.l14",3% HiCane                                      VL
129,",555553244560664l26",Budup 6% + AB 2%                         L
130,",122332333434401l0",3% HiCane + 0.2% Driftstop E         
131,",10314313211l1",Budup 1% + AB 2%                       VL
132,",25554356561l4",Budup 4% + AB 2%                        M
133,",354.245454.66467675l36",Budup 1% + AB 2%                         L
134,",3533430442573405l2",Budup 6% + AB 2%                        M
135,",33355766.5.7705678766l35",Budup 1% + AB 2%                        M
136,",3555.55.4466466.01l53",Budup 1% + AB 2%                        E
137,",354453354.5565l4",Budup Lonza 4% + AB 2%           M
138,",53203233114.4414l10",3% HiCane                                       M
139,",3544554405076477l24",Budup 4% + AB 2%                         L
140,",353432333434213l4",3% HiCane                                        L
141,",45555556.65576767l49",Budup 2% + AB 2%                         L
142,",269776.97.6.63l61",Untreated control
143,",1454115205003l3",Budup 6% + AB 2%                       VL
144,",5310120014120005001l2",Budup 2% + AB 2%                       VL
145,",3444555545.66.l20",Budup 1% + AB 2%                        E
146,",3443234355424356.5l5",Budup Lonza 4% + AB 2%           M
147,",4031054105065l0",Budup 2% + AB 2%                       VL
148,",5565652661525l9",Budup 1% + AB 2%                         L
149,",2556655554554426.73l2",Budup 4% + AB 2%                        M
150,",445555.6.53564l5",Budup 1% + AB 2%                        M
151,",001..0002.00323l0",Budup 6% + AB 2%                       VL
152,",23334434141334443333303l1",3% HiCane                                        L
153,",2555664.66...20.l9",Untreated control
154,",77.4542304755.303300.55..l24",3% HiCane                                      VL
155,",587645476257366564585557746755.l70",Budup 6% + AB 2%                         L
156,",225024012310104l2",Budup 1% + AB 2%                       VL
157,",3546.454.6756656647767285l97",Budup 2% + AB 2%                        E
158,",3454444564550345332l10",Budup 4% + AB 2%                       VL
159,",666365463665376667756..l51",Budup 2% + AB 2%                         L
160,",3546565.4.55.464746666476l109",Budup 4% + AB 2%                        E
161,",33.3533.455.555225004675l14",Budup 6% + AB 2%                        M
162,",3311433575.6.l44",Budup 6% + AB 2%                        E
163,",4444435614044355l6",Budup 2% + AB 2%                        M
164,",545566536555l1",2% AB                                                M
165,",12322313323233434l0",3% HiCane + 0.2% Driftstop E         
166,",322233213032304.5032l0",3% HiCane                                       M
167,",4777.5.77.739828.6l44",Untreated control
168,",55552434052545436446.l16",Budup 4% + AB 2%                         L
169,",1..3..20..21...053l7",Budup 6% + AB 2%                        E
170,",42.00.3040.3531245l2",Budup 1% + AB 2%                       VL
171,",200414303.4413221.2135014l0",3% HiCane                                       M
172,",65.5..435.5445.55.54l52",Budup 2% + AB 2%                        E
173,",4665.5.5.5546.56.455.6545.l22",2% AB                                                M
174,",3432042053552526826l10",Budup 2% + AB 2%                       VL
175,",56455666556715l36",Budup 2% + AB 2%                         L
176,",511305133216074l1",Budup 4% + AB 2%                       VL
177,",454650555567l15",Budup Lonza 4% + AB 2%           M
178,",3554552433435445363l15",3% HiCane                                        L
179,",454345.5424.5564.45l21",Budup 6% + AB 2%                         L
180,",5414444.52.356.433l1",3% HiCane                                      VL
181,",37576366.665777767l58",Untreated control
182,",32334144.4644l43",Budup 4% + AB 2%                        E
183,",11445.565255.5364l54",Budup 1% + AB 2%                        E
184,",35544254.545655257l27",Budup 4% + AB 2%                         L
185,",554.22.545646.5.5606617667l24",Budup 2% + AB 2%                        M
186,",3454.6.566.776.3575.6.5l23",Untreated control
187,",57466.6745.44.6666.56.6.56.5675.l12",Budup 4% + AB 2%                        M
188,",70.11100110303201225.352871706l15",Budup 6% + AB 2%                       VL
189,",3431.143444205654577.l8",Budup 6% + AB 2%                        M
190,",321332422323334321314l6",3% HiCane + 0.2% Driftstop E         
191,",45433.55455.6.55664265l22",Budup 1% + AB 2%                         L
192,",35555550576l9",Budup 1% + AB 2%                        M
193,",357.66.68.6.77589668886l102",Untreated control
194,",343545456666566l22",2% AB                                                M
195,",56566231553667l8",Budup 1% + AB 2%                         L
196,",43453..375.04..415.l34",Budup 6% + AB 2%                        E
197,",433333334424345044l8",3% HiCane                                       M
198,",23332222345443.l2",3% HiCane + 0.2% Driftstop E         
199,",655476.5.63.5115l27",Untreated control
200,",65566.5.47.67676l32",Budup 1% + AB 2%                        E
201,",3445545652657l14",Budup 2% + AB 2%                        M
202,",343342424.42455l1",Budup Lonza 4% + AB 2%           M
203,",44454434333235436l19",3% HiCane                                        L
204,",20141020011021.l0",Budup 2% + AB 2%                       VL
205,",3745.4553556666l37",Budup 6% + AB 2%                         L
206,",44656555456657377l70",Budup 4% + AB 2%                         L
207,",4455.4665.6.5l60",Budup 4% + AB 2%                        E
208,",47535566486724l16",Budup 4% + AB 2%                        M
209,",6534356.666766817l23",Budup 2% + AB 2%                         L
210,",241010003067356000l5",Budup 6% + AB 2%                       VL
211,",42444546455644555456l16",Budup 6% + AB 2%                        M
212,",354555646.77.3.l9",Budup 1% + AB 2%                        M
213,",5.2305098.5.0l13",3% HiCane                                      VL
214,",3152043525010l0",Budup 1% + AB 2%                       VL
215,",21143242455200634705l6",Budup 4% + AB 2%                       VL
216,",2645.5554167567568l78",Budup 2% + AB 2%                        E
217,",4545.6.6.6656.6768.8927.88.7798498673l155",Untreated control
218,",63452233616l6",Budup 2% + AB 2%                         L
219,",50021010010101205203.l2",Budup 2% + AB 2%                       VL
220,",4466.6546637647.6555.l23",Budup 1% + AB 2%                        M
221,",51011.000000.00.4046025l5",Budup 4% + AB 2%                       VL
222,",434144210144l5",3% HiCane                                       M
223,",64562652545636545l7",2% AB                                                M
224,",66535440436.7.6l7",Budup 6% + AB 2%                        M
225,",55.6654.6.6636646665456l53",Budup 1% + AB 2%                         L
226,",442.5.576656677661l55",Budup 4% + AB 2%                        E
227,",4345.43435455l34",Budup 2% + AB 2%                        E
228,",54454526258466767744l68",Untreated control
229,",1..30.1014145l4",3% HiCane                                      VL
230,",55.5.7.63215858756l18",Budup 4% + AB 2%                        M
231,",552354358355l20",Budup 1% + AB 2%                        E
232,",420.0.05000072..540.1547l6",Budup 6% + AB 2%                       VL
233,",353645654.67562l11",Budup 4% + AB 2%                         L
234,",4455556456162l9",Budup 6% + AB 2%                         L
235,",2223233103533l1",3% HiCane + 0.2% Driftstop E         
236,",44575776777667l2",Budup Lonza 4% + AB 2%           M
237,",32554302102.12003l4",3% HiCane                                        L
238,",20100000000111l1",Budup 1% + AB 2%                       VL
239,",122213..44441453635l28",Budup 6% + AB 2%                        E
240,",5562545626664385775757l59",Budup 2% + AB 2%                        M
241,",44555537366363l16",Budup Lonza 4% + AB 2%           M
242,",11122031.3.0000101310l1",Budup 6% + AB 2%                       VL
243,",457546275035553050l46",3% HiCane                                        L
244,",32103400112023.500l2",Budup 1% + AB 2%                       VL
245,",01210124000214475.4l27",3% HiCane                                      VL
246,",364665438445375485.4l37",Budup 6% + AB 2%                        M
247,",143134341350.012.3.l4",3% HiCane                                       M
248,",444320321366505l4",Budup 4% + AB 2%                       VL
249,",.3555.55.65.67634.l54",Budup 2% + AB 2%                        E
250,",42.444256...352440455l39",Budup 6% + AB 2%                        E
251,",56.627.55.6.55.7.6l28",Untreated control
252,",3445553.5.5.66.75.l71",Budup 4% + AB 2%                        E
253,",051.00001101131010554.56l5",Budup 2% + AB 2%                       VL
254,",676.6546589681775l33",Budup 2% + AB 2%                        M
255,",223233131334240.0l4",3% HiCane + 0.2% Driftstop E         
256,",56756.66767.666l8",2% AB                                                M
257,",645647354.7555l25",Budup 6% + AB 2%                         L
258,",576.53.6.77.8..7l50",Untreated control
259,",516757466.0.77l24",Budup 1% + AB 2%                         L
260,",54555455.55.66541322.7757l47",Budup 4% + AB 2%                        M
261,",55645642554658.545536...54.l61",Budup 1% + AB 2%                        E
262,",655464457743516.6.l50",Budup 1% + AB 2%                        M
263,",4655562557.768517927l39",Budup 4% + AB 2%                         L
264,",1622332465456486357067l15",Budup 2% + AB 2%                         L
265,",4636545444336656l42",Budup 6% + AB 2%                         L
266,",451556.3555654..6547.6l72",Budup 6% + AB 2%                        E
267,",667.55.8378.67.7786.l100",Budup 1% + AB 2%                        E
268,",555655546556577578.4l51",Budup 4% + AB 2%                         L
269,",488798.87.76.4418.7377l91",Untreated control
270,",6975.77.6667..7.l51",Untreated control
271,",5566666665.7667487485l113",Budup 2% + AB 2%                        E
272,",602..140530503l8",3% HiCane                                      VL
273,",333330534102l0",Budup 4% + AB 2%                       VL
274,",4344.55546554.5616.6635l95",Budup 4% + AB 2%                        E
275,",31125.5.403546.5314066184l11",Budup 2% + AB 2%                       VL
276,",4646.5305564.55.4055l5",Budup 4% + AB 2%                        M
277,",5444344565656668757l42",Budup 2% + AB 2%                         L
278,",012101021011115001020l5",Budup 1% + AB 2%                       VL
279,",3111002004100.012053l5",Budup 6% + AB 2%                       VL
280,",67465567.665667867877l42",Budup 2% + AB 2%                        M
281,",666544674676677768,55",Budup 1% + AB 2%                         L
282,",754335564.6636756.74556l33",2% AB                                                M
283,",6640...67450.0.6.53875l28",Budup 6% + AB 2%                        M
284,",22223122232323332323422423.l1",3% HiCane + 0.2% Driftstop E         
285,",4757777556556776668767l52",Budup 1% + AB 2%                        M
286,",527320515534557l30",Budup Lonza 4% + AB 2%           M
287,",332331151114246164253l17",3% HiCane                                       M
288,",656675345063442517147140510l77",3% HiCane                                        L
289,",555587.646651666867L80",Budup 4% + AB 2%                        E
290,",4176434441235405.52224L37",Budup 6% + AB 2%                        E
291,",897.6.85.74672734L71",Untreated control
292,",245456456456546355683555L74",Budup 4% + AB 2%                        M
293,",7967497.6.266.61666.*^",Untreated control
294,",76577656577.778676L54",Budup 2% + AB 2%                        M
295,",2307755546155676675761L50",2% AB                                                M
296,",445664414.450546.74L22",Budup 6% + AB 2%                        M
297,",69676.7736665.6L43",Budup 1% + AB 2%                         L
298,",767366446565577778L50",Budup 4% + AB 2%                         L
299,",2110000003024337087.0L14",Budup 2% + AB 2%                       VL
300,",.0204442204200.405L0",Budup 6% + AB 2%                       VL
301,",453.55.44.4454.56565.l59",Budup 2% + AB 2%                        E
302,",86.75.6.76.66.5.66076.6l80",Budup 1% + AB 2%                        E
303,",554446606545054164165456l37",Budup 6% + AB 2%                         L
304,",5640651413054464..l10",Budup 4% + AB 2%                       VL
305,",4400000030650244524.l6",Budup 1% + AB 2%                       VL
306,",14244224151232302l6",3% HiCane                                       M
307,",452556.454506463277.45.6.l21",Budup 2% + AB 2%                         L
308,",4333432434334434351332l1",3% HiCane + 0.2% Driftstop E         
309,",784764836557.6656.7647575l39",Budup 1% + AB 2%                        M
310,",554344.544363565546685.5l26",Budup Lonza 4% + AB 2%           M
311,6714511316041446724021l34,3% HiCane                                        L
312,",...1.3421.50506.4515l13",3% HiCane                                      VL
313,",45653354255545533326L53",3% HiCane                                        L
314,",36654.544453655.4455L33",Budup 2% + AB 2%                        M
315,",4635.6.445.55456655L76",Budup 4% + AB 2%                        E
316,",64534505546.54475.65L31",2% AB                                                M
317,",355455555456567.5L18",Budup 1% + AB 2%                        M
318,",42353540434626L4",3% HiCane                                      VL
319,",434..54451544455.L37",Budup 6% + AB 2%                        E
320,",00101021020030.L0",Budup 1% + AB 2%                       VL
321,",4566.57.55.5567.776L45",Untreated control
322,",677.77.6.78.7.77.6766.8777.L136",Untreated control
323,",32314211.11.0.100153L3",3% HiCane                                       M
324,",232333434355542655L0",Budup 4% + AB 2%                        M
325,",544.55.55565.646l68",Budup 2% + AB 2%                        E
326,",4677835658758845576l47",Budup 1% + AB 2%                         L
327,",10.04100030000033l0",Budup 6% + AB 2%                       VL
328,",56565.67666666.l78",Budup 1% + AB 2%                        E
329,",34354.4445434425.4506l6",Budup 6% + AB 2%                        M
330,",23.402065005204043l2",Budup 4% + AB 2%                       VL
331,",565.65636765756636l38",Budup 4% + AB 2%                         L
332,",1333.345524245433575l11",Budup Lonza 4% + AB 2%           M
333,",42444524015416052342l19",Budup 2% + AB 2%                       VL
334,",654.66.665565725265l35",Budup 2% + AB 2%                         L
335,",74345.550441654l31",Budup 6% + AB 2%                         L
336,",123313332333333235l0",3% HiCane + 0.2% Driftstop E         
337,",4565576675.L36",Budup 4% + AB 2%                         L
338,",5774.653677887L28",Budup 2% + AB 2%                        M
339,",.43..5553545455555777L16",Budup 1% + AB 2%                        M
340,",6653243342334210646L13",Budup Lonza 4% + AB 2%           M
341,",3456535655555.66670L8",Budup 4% + AB 2%                        M
342,",56655656544466.7665L43",Budup 6% + AB 2%                         L
343,",5455444.5566.7686L78",Budup 1% + AB 2%                        E
344,",22222222123333333234355L0",3% HiCane + 0.2% Driftstop E         
345,",.4536414434333454624L20",3% HiCane                                        L
346,",042.2.4260566L6",3% HiCane                                      VL
347,",1.45135440535341L2",Budup 1% + AB 2%                       VL
348,",45556356366376585L32",Budup 2% + AB 2%                         L
349,",564.5465445556356777l74",Budup 2% + AB 2%                        E
350,",1130001.001004l0",Budup 2% + AB 2%                       VL
351,",76436444544.66557366.l50",Budup 1% + AB 2%                         L
352,",44244333425554353660l16",Budup 6% + AB 2%                        M
353,",455433556546364l26",2% AB                                                M
354,",34242222322311504l4",3% HiCane                                       M
355,",4555414636440644.3l13",Budup 6% + AB 2%                       VL
356,",4564445.4.454516602l26",Budup 4% + AB 2%                       VL
357,",447656.4756.5334.7.6.l43",Untreated control
358,",838877..778.65.58.77.55l102",Untreated control
359,",566...456.4.5665535l73",Budup 4% + AB 2%                        E
360,",3444445575455535563556586l73",Budup 6% + AB 2%                        E
361,",3221000..52100L0",Budup 4% + AB 2%                       VL
362,",00.0101030.0.401..4.3.040L0",Budup 6% + AB 2%                       VL
363,",850.001441.111135100.3.0L8",Budup 1% + AB 2%                       VL
364,",5345454356.6655.555534L41",Budup 2% + AB 2%                         L
365,",32444.435.43.4.L20",Budup 4% + AB 2%                        E
366,",54214.244.216302L3",Budup 2% + AB 2%                       VL
367,",334545056.6.676L28",Budup 2% + AB 2%                        E
368,",545131441516534141231124L11",3% HiCane                                      VL
369,",345555545557666.456L19",Budup 2% + AB 2%                        M
370,",556.466564.66.6546477.676667L74",Budup 6% + AB 2%                         L
371,",566.654.6.25366587L40",Untreated control
372,",554543456555564574L11",Budup 1% + AB 2%                         L
373,",5564655.5655477748l52",Untreated control
374,",53451.3.3....54.5...440.l0",Budup 6% + AB 2%                        M
375,",45554645566455745l14",Budup 1% + AB 2%                        M
376,",75666.6364.8877.77.75...4756197.5l110",Budup 1% + AB 2%                        E
377,",443341444243354.00l4",3% HiCane                                        L
378,",024432142242433l6",Budup 4% + AB 2%                        M
379,",64535.554555656752l23",Budup 4% + AB 2%                         L
380,",344544452505456466345l20",2% AB                                                M
381,",43403302215233330l6",3% HiCane                                       M
382,",2232331223341232l0",3% HiCane + 0.2% Driftstop E         
383,",3334.34.023354555545257540l74",Budup 6% + AB 2%                        E
384,",033403433334.4553453l4",Budup Lonza 4% + AB 2%           M
385,",01332322223323322346L1",3% HiCane + 0.2% Driftstop E         
386,",31153233413344443656L5",Budup 4% + AB 2%                         L
387,",15435.4755504446465689L55",2% AB                                                M
388,",61..10113..54345L13",3% HiCane                                      VL
389,",1...5.5....1217L15",Budup 4% + AB 2%                        M
390,",555456665877667L53",Budup 1% + AB 2%                         L
391,",3555.5566566L47",Budup 1% + AB 2%                        E
392,",47557546656665464L40",Budup 2% + AB 2%                         L
393,",...1100..452021010406L7",Budup 6% + AB 2%                       VL
394,",2....4..41011.L0",Budup 4% + AB 2%                       VL
395,",7767726786.5657777775L114",Untreated control
396,",44575.42354466686.L40",Budup 1% + AB 2%                        M
397,",352542441144413052437576.l42",Budup Lonza 4% + AB 2%           M
398,",5511411434155130171l8",Budup 2% + AB 2%                       VL
399,",2552332122451l9",3% HiCane                                        L
400,",1532233.42354046451361l18",Budup 1% + AB 2%                       VL
401,",5555333444434.3234504556656l45",Budup 6% + AB 2%                         L
402,",333.354.44.44445655..54l44",Budup 2% + AB 2%                        E
403,",22..433.243..0003...00l3",Budup 6% + AB 2%                        M
404,",3..32262.41...6l17",Budup 4% + AB 2%                        E
405,",444333544.44443.45.342274l74",Budup 6% + AB 2%                        E
406,",664.44433443445545463754l42",Budup 2% + AB 2%                        M
407,",243212203232114230100410l5",3% HiCane                                       M
408,",656.3574655665l45",Untreated control
409,",8665636666666686734L33",Budup 2% + AB 2%                        M
410,",565.55..54643655583.2526.0..40l44",Budup 4% + AB 2%                        M
411,",001030020014l4",Budup 1% + AB 2%                       VL
412,",55.6.56.5.56.6256.76l63",Budup 2% + AB 2%                        E
413,",354056554464455600l24",Budup 6% + AB 2%                         L
414,",5124310424.43.67l5",Budup 4% + AB 2%                       VL
415,",..1204001210303l0",Budup 6% + AB 2%                       VL
416,",1546545.655466545l31",Budup 1% + AB 2%                         L
417,",3444.003354.65l9",Budup 6% + AB 2%                        M
418,",1333034304353330l19",3% HiCane + 0.2% Driftstop E         
419,",52.444050455805l14",3% HiCane                                      VL
420,",465544455677l32",Budup 4% + AB 2%                         L
421,",5545544655445635666.l31",Budup 1% + AB 2%                        M
422,",746.45478446556673654l74",Budup 2% + AB 2%                         L
423,",544.4.44545667545l67",Budup 1% + AB 2%                        E
424,",5767.76.66.66.6658158.l89",Untreated control
425,",454122425442.560622l7",Budup 2% + AB 2%                       VL
426,",545133054.55.6616116l26",Budup Lonza 4% + AB 2%           M
427,",55654.5443..5565..l70",Budup 4% + AB 2%                        E
428,",03233.233424324l0",3% HiCane                                       M
429,",1555455557443671l8",2% AB                                                M
430,",44777.747764647669446l66",Untreated control
431,",653334436474352672425l44",3% HiCane                                        L
432,",36455.545626366l84",Budup 6% + AB 2%                        E
433,",461452.663665l49",Budup 4% + AB 2%                        E
434,",1102000010540050105400l2",Budup 4% + AB 2%                       VL
435,",4524113444302.0353651566l8",Budup 4% + AB 2%                        M
436,",342232.6403523053l3",Budup 1% + AB 2%                       VL
437,",55445640455414l3",Budup 6% + AB 2%                        M
438,",12223433343l2",3% HiCane + 0.2% Driftstop E         
439,",4545454653535l4",Budup Lonza 4% + AB 2%           M
440,",0542241527636606l5",Budup 2% + AB 2%                       VL
441,",576.77.66.67653665l62",Untreated control
442,",454533442503l11",3% HiCane                                       M
443,",44433.435.46454460566l75",Budup 6% + AB 2%                        E
444,",34545545565556l0",Budup 2% + AB 2%                        M
445,",556553.55.6646376866l33",Budup 1% + AB 2%                        M
446,",5764.4466.6.8774276l25",2% AB                                                M
447,",4746.6566.2477.7.77l54",Untreated control
448,",4444.45.65.55.6.76.5..4.57.4.46.l76",Budup 2% + AB 2%                        E
449,",663674644536636534355l79",3% HiCane                                        L
450,",42.3305215.56004l6",3% HiCane                                      VL
451,",4766666.7677664747.l49",Budup 1% + AB 2%                         L
452,",3344.5454656466766l35",Budup 1% + AB 2%                        E
453,",34134..3235425424405624506l26",Budup 4% + AB 2%                         L
454,",144..3644354644444551466l40",Budup 2% + AB 2%                         L
455,",...0.201000.00000l0",Budup 6% + AB 2%                       VL
456,",44.545332444345543244l18",Budup 6% + AB 2%                         L
457,",36544253412453l6",Budup 6% + AB 2%                        M
458,",....00.00.1..0.0.l0",Budup 6% + AB 2%                       VL
459,",454784266357566678278l27",Budup 1% + AB 2%                        M
460,",51130300204100l1",Budup 2% + AB 2%                       VL
461,",4324.004440000l5",Budup 4% + AB 2%                       VL
462,",52222333321334153l10",3% HiCane + 0.2% Driftstop E         
463,",5332454343.3.4505677662l13",Budup Lonza 4% + AB 2%           M
464,",5786.79.6589.7236l72",Untreated control
465,",53555420151640335523587l20",Budup 1% + AB 2%                       VL
466,",667355.5436655767l13",Budup 4% + AB 2%                        M
467,",56436426606535.6745l33",Budup 2% + AB 2%                         L
468,",.654112332237l18",3% HiCane                                        L
469,",4587687..6627746767687L92",Untreated control
470,",5.335476556505466L18",Budup 6% + AB 2%                         L
471,",5655454666.466736L14",Budup 2% + AB 2%                        M
472,",4555.555555.667565L73",Budup 4% + AB 2%                        E
473,",6482676755465663766747836L78",Budup 1% + AB 2%                         L
474,",4.354312563.560104600341L17",3% HiCane                                      VL
475,",354556.554577.55L46",Budup 2% + AB 2%                        E
476,",46456.6.67.6.67.L53",Budup 1% + AB 2%                        E
477,",443.34544354666L62",Budup 6% + AB 2%                        E
478,",465366.644366006L21",2% AB                                                M
479,",22333322130302.3204L1",3% HiCane                                       M
480,",34332334252341L4",Budup 4% + AB 2%                         L
