CaneID,Treatment
1181,Untreated control
1182,2% AB                                                M
1183,Budup 4% + AB 2%                        E
1184,Budup 6% + AB 2%                        M
1185,Budup 2% + AB 2%                        E
1186,Budup 1% + AB 2%                       VL
1187,Budup 2% + AB 2%                        M
1188,Budup Lonza 4% + AB 2%           M
1189,Budup 4% + AB 2%                         L
1190,Budup 6% + AB 2%                        E
1191,6% HiCane + 0.2% Driftstop E         
1192,Budup 6% + AB 2%                       VL
1193,Budup 4% + AB 2%                         L
1194,Budup 2% + AB 2%                       VL
1195,Budup 1% + AB 2%                       VL
1196,Budup 4% + AB 2%                        E
1197,Budup 6% + AB 2%                       VL
1198,2% AB                                                M
1199,6% HiCane                                      VL
1200,Budup 1% + AB 2%                        E
1201,Budup 2% + AB 2%                        M
1202,Budup 6% + AB 2%                        M
1203,6% HiCane                                       M
1204,Budup 6% + AB 2%                         L
1205,Budup 4% + AB 2%                        M
1206,Untreated control
1207,6% HiCane                                        L
1208,Budup 2% + AB 2%                         L
1209,Budup 1% + AB 2%                         L
1210,Budup 4% + AB 2%                       VL
1211,Untreated control
1212,Budup 1% + AB 2%                        M
1213,Budup 2% + AB 2%                        E
1214,Budup 6% + AB 2%                        E
1215,6% HiCane + 0.2% Driftstop E         
1216,Budup Lonza 4% + AB 2%           M
1217,Budup 2% + AB 2%                        M
1218,2% AB                                                M
1219,Budup 1% + AB 2%                        E
1220,6% HiCane                                       M
1221,6% HiCane                                        L
1222,Untreated control
1223,Budup 1% + AB 2%                         L
1224,Budup 2% + AB 2%                         L
1225,Budup 6% + AB 2%                        E
1226,Budup Lonza 4% + AB 2%           M
1227,Budup 1% + AB 2%                       VL
1228,Budup 6% + AB 2%                         L
1229,Budup 2% + AB 2%                       VL
1230,Budup 2% + AB 2%                        E
1231,Budup 4% + AB 2%                       VL
1232,Budup 4% + AB 2%                        E
1233,Budup 1% + AB 2%                        M
1234,Budup 4% + AB 2%                        M
1235,Budup 4% + AB 2%                         L
1236,6% HiCane                                      VL
1237,Untreated control
1238,Budup 6% + AB 2%                        M
1239,6% HiCane + 0.2% Driftstop E         
1240,Budup 6% + AB 2%                       VL
1241,Budup 2% + AB 2%                         L
1242,Budup 2% + AB 2%                       VL
1243,Budup Lonza 4% + AB 2%           M
1244,Budup 4% + AB 2%                       VL
1245,Untreated control
1246,Untreated control
1247,Budup 1% + AB 2%                        E
1248,Budup 1% + AB 2%                       VL
1249,Budup 4% + AB 2%                        E
1250,6% HiCane                                        L
1251,6% HiCane                                      VL
1252,2% AB                                                M
1253,Budup 6% + AB 2%                        M
1254,6% HiCane                                       M
1255,Budup 4% + AB 2%                        M
1256,Budup 1% + AB 2%                         L
1257,Budup 1% + AB 2%                        M
1258,Budup 2% + AB 2%                        E
1259,Budup 4% + AB 2%                         L
1260,Budup 6% + AB 2%                        E
1261,Budup 2% + AB 2%                        M
1262,6% HiCane + 0.2% Driftstop E         
1263,Budup 6% + AB 2%                       VL
1264,Budup 6% + AB 2%                         L
1265,Budup 4% + AB 2%                         L
1266,Budup 1% + AB 2%                         L
1267,Untreated control
1268,Budup 1% + AB 2%                        E
1269,2% AB                                                M
1270,Budup 4% + AB 2%                        E
1271,6% HiCane + 0.2% Driftstop E         
1272,Budup 2% + AB 2%                        M
1273,6% HiCane                                      VL
1274,6% HiCane                                       M
1275,Budup 1% + AB 2%                       VL
1276,Budup 1% + AB 2%                        M
1277,Budup 2% + AB 2%                         L
1278,Budup 4% + AB 2%                        M
1279,Budup 6% + AB 2%                       VL
1280,Budup 6% + AB 2%                        M
1281,Untreated control
1282,6% HiCane                                        L
1283,Budup 2% + AB 2%                       VL
1284,Budup 4% + AB 2%                       VL
1285,Budup 2% + AB 2%                        E
1286,Budup 6% + AB 2%                        E
1287,Budup Lonza 4% + AB 2%           M
1288,Budup 6% + AB 2%                         L
1289,Budup 2% + AB 2%                       VL
1290,Untreated control
1291,6% HiCane + 0.2% Driftstop E         
1292,Budup 6% + AB 2%                        E
1293,Budup 2% + AB 2%                        M
1294,2% AB                                                M
1295,Budup 1% + AB 2%                       VL
1296,Budup 6% + AB 2%                       VL
1297,Budup 2% + AB 2%                         L
1298,Budup Lonza 4% + AB 2%           M
1299,Budup 6% + AB 2%                        M
1300,Budup 4% + AB 2%                       VL
1301,Budup 6% + AB 2%                         L
1302,6% HiCane                                      VL
1303,Budup 1% + AB 2%                        E
1304,Budup 1% + AB 2%                         L
1305,Budup 2% + AB 2%                        E
1306,Untreated control
1307,Budup 4% + AB 2%                         L
1308,6% HiCane                                        L
1309,6% HiCane                                       M
1310,Budup 4% + AB 2%                        E
1311,Budup 4% + AB 2%                        M
1312,Budup 1% + AB 2%                        M
1313,Budup 2% + AB 2%                         L
1314,Untreated control
1315,Budup Lonza 4% + AB 2%           M
1316,Budup 1% + AB 2%                        E
1317,Budup 6% + AB 2%                         L
1318,Budup 6% + AB 2%                       VL
1319,Budup 1% + AB 2%                       VL
1320,Budup 6% + AB 2%                        M
1321,2% AB                                                M
1322,6% HiCane                                        L
1323,Budup 4% + AB 2%                        M
1324,Budup 4% + AB 2%                        E
1325,Budup 2% + AB 2%                       VL
1326,Budup 6% + AB 2%                        E
1327,Budup 2% + AB 2%                        M
1328,Budup 4% + AB 2%                       VL
1329,Untreated control
1330,Budup 4% + AB 2%                         L
1331,6% HiCane + 0.2% Driftstop E         
1332,6% HiCane                                       M
1333,6% HiCane                                      VL
1334,Budup 1% + AB 2%                        M
1335,Budup 2% + AB 2%                        E
1336,Budup 1% + AB 2%                         L
1337,6% HiCane                                      VL
1338,6% HiCane                                        L
1339,Budup 2% + AB 2%                         L
1340,Budup 2% + AB 2%                        E
1341,6% HiCane                                       M
1342,Budup 1% + AB 2%                         L
1343,Budup 2% + AB 2%                        M
1344,Budup Lonza 4% + AB 2%           M
1345,6% HiCane + 0.2% Driftstop E         
1346,Budup 6% + AB 2%                       VL
1347,Budup 4% + AB 2%                        E
1348,Untreated control
1349,Budup 6% + AB 2%                         L
1350,Budup 1% + AB 2%                        E
1351,Budup 1% + AB 2%                        M
1352,Budup 2% + AB 2%                       VL
1353,2% AB                                                M
1354,Budup 1% + AB 2%                       VL
1355,Budup 4% + AB 2%                         L
1356,Budup 4% + AB 2%                        M
1357,Budup 6% + AB 2%                        M
1358,Budup 4% + AB 2%                       VL
1359,Untreated control
1360,Budup 6% + AB 2%                        E
1361,Budup 1% + AB 2%                        M
1362,Budup 6% + AB 2%                       VL
1363,Budup 4% + AB 2%                       VL
1364,Budup 2% + AB 2%                        M
1365,Budup Lonza 4% + AB 2%           M
1366,Budup 1% + AB 2%                        E
1367,6% HiCane + 0.2% Driftstop E         
1368,Untreated control
1369,Budup 4% + AB 2%                        E
1370,2% AB                                                M
1371,Untreated control
1372,6% HiCane                                      VL
1373,6% HiCane                                       M
1374,Budup 2% + AB 2%                         L
1375,Budup 6% + AB 2%                         L
1376,Budup 1% + AB 2%                       VL
1377,Budup 4% + AB 2%                        M
1378,Budup 6% + AB 2%                        M
1379,Budup 1% + AB 2%                         L
1380,Budup 2% + AB 2%                       VL
1381,Budup 6% + AB 2%                        E
1382,Budup 2% + AB 2%                        E
1383,6% HiCane                                        L
