CaneID,Treatment
191,Budup 1% + AB 2%                         L
192,Budup 1% + AB 2%                        M
193,Untreated control
194,2% AB                                                M
195,Budup 1% + AB 2%                         L
196,Budup 6% + AB 2%                        E
197,3% HiCane                                       M
198,3% HiCane + 0.2% Driftstop E         
199,Untreated control
200,Budup 1% + AB 2%                        E
201,Budup 2% + AB 2%                        M
202,Budup Lonza 4% + AB 2%           M
203,3% HiCane                                        L
204,Budup 2% + AB 2%                       VL
205,Budup 6% + AB 2%                         L
206,Budup 4% + AB 2%                         L
207,Budup 4% + AB 2%                        E
208,Budup 4% + AB 2%                        M
209,Budup 2% + AB 2%                         L
210,Budup 6% + AB 2%                       VL
211,Budup 6% + AB 2%                        M
212,Budup 1% + AB 2%                        M
213,3% HiCane                                      VL
214,Budup 1% + AB 2%                       VL
215,Budup 4% + AB 2%                       VL
216,Budup 2% + AB 2%                        E
217,Untreated control
218,Budup 2% + AB 2%                         L
219,Budup 2% + AB 2%                       VL
220,Budup 1% + AB 2%                        M
221,Budup 4% + AB 2%                       VL
222,3% HiCane                                       M
223,2% AB                                                M
224,Budup 6% + AB 2%                        M
225,Budup 1% + AB 2%                         L
226,Budup 4% + AB 2%                        E
227,Budup 2% + AB 2%                        E
228,Untreated control
229,3% HiCane                                      VL
230,Budup 4% + AB 2%                        M
231,Budup 1% + AB 2%                        E
232,Budup 6% + AB 2%                       VL
233,Budup 4% + AB 2%                         L
234,Budup 6% + AB 2%                         L
235,3% HiCane + 0.2% Driftstop E         
236,Budup Lonza 4% + AB 2%           M
237,3% HiCane                                        L
238,Budup 1% + AB 2%                       VL
239,Budup 6% + AB 2%                        E
240,Budup 2% + AB 2%                        M
241,Budup Lonza 4% + AB 2%           M
242,Budup 6% + AB 2%                       VL
243,3% HiCane                                        L
244,Budup 1% + AB 2%                       VL
245,3% HiCane                                      VL
246,Budup 6% + AB 2%                        M
247,3% HiCane                                       M
248,Budup 4% + AB 2%                       VL
249,Budup 2% + AB 2%                        E
250,Budup 6% + AB 2%                        E
251,Untreated control
252,Budup 4% + AB 2%                        E
253,Budup 2% + AB 2%                       VL
254,Budup 2% + AB 2%                        M
255,3% HiCane + 0.2% Driftstop E         
256,2% AB                                                M
257,Budup 6% + AB 2%                         L
258,Untreated control
259,Budup 1% + AB 2%                         L
260,Budup 4% + AB 2%                        M
261,Budup 1% + AB 2%                        E
262,Budup 1% + AB 2%                        M
263,Budup 4% + AB 2%                         L
264,Budup 2% + AB 2%                         L
265,Budup 6% + AB 2%                         L
266,Budup 6% + AB 2%                        E
267,Budup 1% + AB 2%                        E
268,Budup 4% + AB 2%                         L
269,Untreated control
270,Untreated control
271,Budup 2% + AB 2%                        E
272,3% HiCane                                      VL
273,Budup 4% + AB 2%                       VL
274,Budup 4% + AB 2%                        E
275,Budup 2% + AB 2%                       VL
276,Budup 4% + AB 2%                        M
277,Budup 2% + AB 2%                         L
278,Budup 1% + AB 2%                       VL
279,Budup 6% + AB 2%                       VL
280,Budup 2% + AB 2%                        M
281,Budup 1% + AB 2%                         L
282,2% AB                                                M
283,Budup 6% + AB 2%                        M
284,3% HiCane + 0.2% Driftstop E         
285,Budup 1% + AB 2%                        M
286,Budup Lonza 4% + AB 2%           M
287,3% HiCane                                       M
288,3% HiCane                                        L
289,Budup 4% + AB 2%                        E
290,Budup 6% + AB 2%                        E
291,Untreated control
292,Budup 4% + AB 2%                        M
293,Untreated control
294,Budup 2% + AB 2%                        M
295,2% AB                                                M
296,Budup 6% + AB 2%                        M
297,Budup 1% + AB 2%                         L
298,Budup 4% + AB 2%                         L
299,Budup 2% + AB 2%                       VL
300,Budup 6% + AB 2%                       VL
301,Budup 2% + AB 2%                        E
302,Budup 1% + AB 2%                        E
303,Budup 6% + AB 2%                         L
304,Budup 4% + AB 2%                       VL
305,Budup 1% + AB 2%                       VL
306,3% HiCane                                       M
307,Budup 2% + AB 2%                         L
308,3% HiCane + 0.2% Driftstop E         
309,Budup 1% + AB 2%                        M
310,Budup Lonza 4% + AB 2%           M
311,3% HiCane                                        L
312,3% HiCane                                      VL
313,3% HiCane                                        L
314,Budup 2% + AB 2%                        M
315,Budup 4% + AB 2%                        E
316,2% AB                                                M
317,Budup 1% + AB 2%                        M
318,3% HiCane                                      VL
319,Budup 6% + AB 2%                        E
320,Budup 1% + AB 2%                       VL
321,Untreated control
322,Untreated control
323,3% HiCane                                       M
324,Budup 4% + AB 2%                        M
325,Budup 2% + AB 2%                        E
326,Budup 1% + AB 2%                         L
327,Budup 6% + AB 2%                       VL
328,Budup 1% + AB 2%                        E
329,Budup 6% + AB 2%                        M
330,Budup 4% + AB 2%                       VL
331,Budup 4% + AB 2%                         L
332,Budup Lonza 4% + AB 2%           M
333,Budup 2% + AB 2%                       VL
334,Budup 2% + AB 2%                         L
335,Budup 6% + AB 2%                         L
336,3% HiCane + 0.2% Driftstop E         
337,Budup 4% + AB 2%                         L
338,Budup 2% + AB 2%                        M
339,Budup 1% + AB 2%                        M
340,Budup Lonza 4% + AB 2%           M
341,Budup 4% + AB 2%                        M
342,Budup 6% + AB 2%                         L
343,Budup 1% + AB 2%                        E
344,3% HiCane + 0.2% Driftstop E         
345,3% HiCane                                        L
346,3% HiCane                                      VL
347,Budup 1% + AB 2%                       VL
348,Budup 2% + AB 2%                         L
349,Budup 2% + AB 2%                        E
350,Budup 2% + AB 2%                       VL
351,Budup 1% + AB 2%                         L
352,Budup 6% + AB 2%                        M
353,2% AB                                                M
354,3% HiCane                                       M
355,Budup 6% + AB 2%                       VL
356,Budup 4% + AB 2%                       VL
357,Untreated control
358,Untreated control
359,Budup 4% + AB 2%                        E
360,Budup 6% + AB 2%                        E
361,Budup 4% + AB 2%                       VL
362,Budup 6% + AB 2%                       VL
363,Budup 1% + AB 2%                       VL
364,Budup 2% + AB 2%                         L
365,Budup 4% + AB 2%                        E
366,Budup 2% + AB 2%                       VL
367,Budup 2% + AB 2%                        E
368,3% HiCane                                      VL
369,Budup 2% + AB 2%                        M
370,Budup 6% + AB 2%                         L
371,Untreated control
372,Budup 1% + AB 2%                         L
373,Untreated control
374,Budup 6% + AB 2%                        M
375,Budup 1% + AB 2%                        M
376,Budup 1% + AB 2%                        E
