CaneID,coy,Treatment
1084,",8-88.949.9999.99.63l15",Budup 4% + AB 2%                         L
1085,",---44.66.7..6.76.6.5l4",Budup 1% + AB 2%                       VL
1086,",87.9.99787981886l27",Budup 4% + AB 2%                        E
1087,",..0626..5898.6868.801698.57.5.99.849.8994l10",Budup 6% + AB 2%                        M
1088,",788577.9.8.8...5....7.9.....01l20",Untreated control
1089,",5.98959699.99.94..l51",6% HiCane                                        L
1090,",.-999.9996.6.65l30",Budup 1% + AB 2%                        M
1091,",...89.7.9.-969898.l4",Budup 6% + AB 2%                       VL
1092,",5889.977.8.8.98.880.5l24",6% HiCane                                      VL
1093,",6.877.88.918895.l0",Budup 2% + AB 2%                         L
1094,",9856.879.8899988.157l32",Budup 2% + AB 2%                        E
1095,",746.6.8.88.92.6.64.3.8..7.7....88.8.84.l7",2% AB                                                M
1096,",58.9..9.90.9.98.9.98.9956.l8",Budup 4% + AB 2%                       VL
1097,",--29587.879909.8899.9998.6.L33",Budup 6% + AB 2%                        M
1098,",546.....4.77.8767.567828.99.7.67.5..L24",Untreated control
1099,",-745557..8.26.7..8.98.9.82986871L18",Budup 6% + AB 2%                       VL
1100,",55.8.37.60.6.88.6.87.7..6677.45.4.L16",Budup Lonza 4% + AB 2%           M
1101,",442....555.8.78.99.8...L47",Untreated control
1102,",77...77.89.9.9.967.8.6763L14",Budup 1% + AB 2%                       VL
1103,",3907..9.9298.98.9.98.99.9.7889.503L36",6% HiCane                                        L
1104,",7788888677597976798.989859988887.6L100",Budup 2% + AB 2%                        E
1105,",76..6.7....88.58.98.99.99.9.78.99.9488.99.65.L63",Budup 4% + AB 2%                       VL
1106,",78237898979.99.99898999979-896.0L61",Budup 2% + AB 2%                         L
1107,",45.7.76.856688286..4375.8899679..L31",Budup 6% + AB 2%                         L
1108,",-2768778787.8988.9887.86L89",Budup 1% + AB 2%                        E
1109,",763.89..98.976.97.98.8695699.99.988.6.76624l29",Budup 2% + AB 2%                       VL
1110,",64..777.99.98.799708879978.9828..ll92",Budup 1% + AB 2%                        M
1111,",.-9658797987527..342l20",Budup 4% + AB 2%                         L
1112,",478985-.76-7769.7678-779789887826l62",Budup 4% + AB 2%                        M
1113,",-25..6.4316793.8878.58.4..l39",Budup 6% + AB 2%                        E
1114,",54599.89.980899.98..970.88..688577l49",2% AB                                                M
1115,",76.7.-7.8.9.8959.8.69.8979.78856l53",Budup 2% + AB 2%                        M
1116,",18389-99799.787..l53",6% HiCane + 0.2% Driftstop E         
1117,",387.69.79.9.0778.6.795l20",Budup 1% + AB 2%                         L
1118,",65745707.47.7897.87.6.9887.89..78l70",Budup 4% + AB 2%                        E
1119,",.76.78.8799.....l18",6% HiCane                                      VL
1120,",4.2.42.-.6-.6..8.8807.57.-6.5643l8",6% HiCane                                       M
1121,",-3768777788.8988.8887.68L93",6% HiCane                                       M
1122,",-402.537443.88089988588.62L18",Budup 1% + AB 2%                       VL
1123,",886779.97.9989.998589799997883.1L48",Budup 4% + AB 2%                        M
1124,",-56637.97.7.99.8526.79.8.8988..L25",Budup 2% + AB 2%                       VL
1125,",7666788889786856.7L11",2% AB                                                M
1126,",57698379.8967.7798888.67.788.8.L50",Budup 4% + AB 2%                        E
1127,",999969798.99.89969778.9957777.L47",Budup 6% + AB 2%                        M
1128,",-14.76.6865.8.77.7886.76.L28",6% HiCane                                      VL
1129,",78699789888.4L28",Untreated control
1130,",420475.05.74.6.76.5774.7999.865L13",Budup 4% + AB 2%                       VL
1131,",24.72756..75.646167475.557.L23",Budup 6% + AB 2%                         L
1132,",7766.77.7.8667499.769774L31",Untreated control
1133,",--61.5278.688.76.7.8888.897882l31",Budup 2% + AB 2%                         L
1134,",554--799778.5.51l17",6% HiCane + 0.2% Driftstop E         
1135,",78799869.89786873..l45",6% HiCane                                        L
1136,",783...5.48..67.76..67874..888978999989.99l35",Budup 1% + AB 2%                        E
1137,",-63.1.5.66.6.3768.8.884999857.l35",Budup 1% + AB 2%                        M
1138,",368.6.78.6566.76.478684679.9891-.541l25",Budup 2% + AB 2%                        E
1139,",..64978869969899696699968866l31",Budup 4% + AB 2%                         L
1140,",-48.9686.669.48.777.5674.77774.6.l41",Budup 6% + AB 2%                        E
1141,",-07898.678699993988.l14",Budup 2% + AB 2%                        M
1142,",-3...8....5.99.9.998.9979999.9l5",Budup 6% + AB 2%                       VL
1143,",--7999999.99759979.889666l24",Budup 1% + AB 2%                         L
1144,",96-9-7.9597..l29",Budup Lonza 4% + AB 2%           M
1145,",443.8.764.9.6.83.87.6.76.6956..0L36",Budup 6% + AB 2%                       VL
1146,",897968847557.7..5.897664...L50",Budup 2% + AB 2%                        E
1147,",455.7....68.67.66-7767858.76.66..L20",Budup 6% + AB 2%                        M
1148,",99.9..79.68..7967958786.75L39",Budup 1% + AB 2%                        E
1149,",1635..7.6.996598776...L12",Budup 2% + AB 2%                       VL
1150,",34.9..9.81.9.6787..9.6..8348.2.0L12",Budup 4% + AB 2%                       VL
1151,",688..79.99.7.6996.9.28.99.9.6846..L23",Budup 1% + AB 2%                        M
1152,",40....3..4..5.5.75.46.5.56.4.75.4767.56.L16",Untreated control
1153,",335-.554754475878897777.8665.6567725.3046L37",6% HiCane + 0.2% Driftstop E         
1154,",56..7.8.78..998.97.8.9987668...L27",Budup 1% + AB 2%                         L
1155,",25-458867.886.49.899.89.888.893.777799.78.1.L13",Budup 4% + AB 2%                         L
1156,",878.86.9747.87.8998.8767L43",Budup 6% + AB 2%                        E
1157,",..798.89589988968979857756852.l49",6% HiCane                                        L
1158,",..7869.86936996.l33",6% HiCane                                       M
1159,",478.89.97.9499.98.9776.8999778.3l19",Budup 2% + AB 2%                        M
1160,",8657.899.98.7...9.99.9.9977.87l47",Budup Lonza 4% + AB 2%           M
1161,",3-.55.7777886.6776865..l12",Budup 6% + AB 2%                         L
1162,",64....4.4.66.8777.87.l5",2% AB                                                M
1163,",65546..366355...86.7.66.0l8",Budup 4% + AB 2%                        E
1164,",646.5-5..60.74979999899885l20",6% HiCane                                      VL
1165,",47.7..7.66.7..675.7759.78.5.9999047.6l23",Budup 1% + AB 2%                       VL
1166,",6..8.4778.66..78766968978.6996l43",Budup 4% + AB 2%                        M
1167,",1....5.67.6666.55.5..l16",Untreated control
1168,",--4669889.8887.l13",Budup 2% + AB 2%                         L
1169,",..6687768.666..7.76.765888.8..927.55.565.L2",Budup 1% + AB 2%                        M
1170,",75.1.556.65.6.9.9...98.999.9989.9899.9797..L9",Budup 4% + AB 2%                        M
1171,",278.93.88887777..5L17",Budup 6% + AB 2%                         L
1172,",46777286786299.8758959498.99.9878.8664.L29",Budup 2% + AB 2%                         L
1173,",846.6.4.7999998997879798.4L15",6% HiCane                                        L
1174,",6688778-6776.7698687888888889567.7.L76",Budup 1% + AB 2%                        E
1175,",7.5..6847.8.5.97.3.98.6086988.6.0L6",Budup 2% + AB 2%                       VL
1176,",-766.88.7998.8..9197969779968427.L43",6% HiCane                                      VL
1177,",8796.68.4..9.98.7887.9989866...L64",Untreated control
1178,",46..75.9.87.7.67.888677877.665.L70",6% HiCane                                       M
1179,",559.99.8888.89.7.9879.5999198L34",Budup 4% + AB 2%                       VL
1180,",-3976897798699737786969889877988L26",Budup 1% + AB 2%                         L
1181,",644....463.4...56.656.4586.87.96.87.87.88-l43",Untreated control
1182,",63.9.99.7989.6488.6.l88",2% AB                                                M
1183,",-8788.7.88.9.6936258.958546l78",Budup 4% + AB 2%                        E
1184,",.168.8.8-766868768.65l33",Budup 6% + AB 2%                        M
1185,",67.7..8.7..8785.5.5l39",Budup 2% + AB 2%                        E
1186,",.97.98..988.80.8.9884.6.l25",Budup 1% + AB 2%                       VL
1187,",2216757.9867.6-79.89.9998.666.l34",Budup 2% + AB 2%                        M
1188,",.--66-0-5.999299998798.l28",Budup Lonza 4% + AB 2%           M
1189,",79989985999.778.3l40",Budup 4% + AB 2%                         L
1190,",56465467..56..847.66.7.6779.896586l29",Budup 6% + AB 2%                        E
1191,",442425645.4-.4.5765385...l13",6% HiCane + 0.2% Driftstop E         
1192,",.6--.96.9078.8768.7366.l2",Budup 6% + AB 2%                       VL
1193,",66-..4..4.62451876717642L1",Budup 4% + AB 2%                         L
1194,",76566..3583.9699.9799.8615L11",Budup 2% + AB 2%                       VL
1195,",36..6.425.62.6.88.8657.77.5687...L17",Budup 1% + AB 2%                       VL
1196,",-.28..546888.6947756.5.7L39",Budup 4% + AB 2%                        E
1197,",713...798895999..6.24L28",Budup 6% + AB 2%                       VL
1198,",8289987898979665.L26",2% AB                                                M
1199,",5689.877818557.7..L26",6% HiCane                                      VL
1200,",565.....3747.8-6181798685879878.6L72",Budup 1% + AB 2%                        E
1201,",--.85.79.99.9..8999999.9808998.16....L37",Budup 2% + AB 2%                        M
1202,",08579.97.8978.99.7099.8887.665.L78",Budup 6% + AB 2%                        M
1203,",-6469789679.899.89999958.6999.978886..4L65",6% HiCane                                       M
1204,",67798599989.7..9.80.9.8998989.986L25",Budup 6% + AB 2%                         L
1205,",--6.7.-8.8546.7786.778778.l21",Budup 4% + AB 2%                        M
1206,",.99799179.6989..l43",Untreated control
1207,",7999977997878778783l29",6% HiCane                                        L
1208,",96.969968999.9976l23",Budup 2% + AB 2%                         L
1209,",245.5375.--58.9877866.460l15",Budup 1% + AB 2%                         L
1210,",2-..6.77.607..6.98.9078.82.9.99697..8l13",Budup 4% + AB 2%                       VL
1211,",2.....4.443.4..324.4.43.42l0",Untreated control
1212,",39.8..9.466.48.78.7-74.979665l24",Budup 1% + AB 2%                        M
1213,",74..376.5647.2....53.2.44.0l10",Budup 2% + AB 2%                        E
1214,66.25.4...538.7.7868.667864-.03l36,Budup 6% + AB 2%                        E
1215,",55...55443.3566...55755877858757.l19",6% HiCane + 0.2% Driftstop E         
1216,",41.2.5.435..4.45.6678.7087.6-22.50l0",Budup Lonza 4% + AB 2%           M
1217,",-453..776.887856779.89.9937.991939958989.88.L30",Budup 2% + AB 2%                        M
1218,",-73.77.8.574.7767.1..96.9.999888..L3",2% AB                                                M
1219,",887789.8699.97.72......0.4000L38",Budup 1% + AB 2%                        E
1220,",0.49.997796997.867..L17",6% HiCane                                       M
1221,",.56.6969888599188797772..L42",6% HiCane                                        L
1222,",--.4.26.76.5.799789996.L50",Untreated control
1223,",8728996787769.984778664.L26",Budup 1% + AB 2%                         L
1224,",030546.4.8766.8776.7646688..44L3",Budup 2% + AB 2%                         L
1225,",-0..5.6.2.54.45...55569.7.78.5..L27",Budup 6% + AB 2%                        E
1226,",3.5067.7776.66.2.5.L6",Budup Lonza 4% + AB 2%           M
1227,",6557.77..77..7.89.676.6408L9",Budup 1% + AB 2%                       VL
1228,",766.....68.89675.7888697.89798.89876.L41",Budup 6% + AB 2%                         L
1229,",38.8..9.89.9..8.99.7298.8929787.l6",Budup 2% + AB 2%                       VL
1230,",86748.75871694.5558.174678.53l22",Budup 2% + AB 2%                        E
1231,",--066.6.75.646.9.88.7187.l5",Budup 4% + AB 2%                       VL
1232,",-3466.775.769.877.l24",Budup 4% + AB 2%                        E
1233,",..174-9.98.8.68.7399.9199487.67l22",Budup 1% + AB 2%                        M
1234,",258..76.7.8.97.4877868887.650l56",Budup 4% + AB 2%                        M
1235,",55.9997999899977798.99.8899757477965.l40",Budup 4% + AB 2%                         L
1236,",87--855775889479998..l20",6% HiCane                                      VL
1237,",8..77667.7...56.8.37.68..l30",Untreated control
1238,",-669.9.8.698.876589.99.9.97.l61",Budup 6% + AB 2%                        M
1239,",-866--97598567-89969.9889...l124",6% HiCane + 0.2% Driftstop E         
1240,",-85.17.87.9.8809..7.4.87.7...l4",Budup 6% + AB 2%                       VL
1241,",154...3..6....740.5775899967999959999799899779.6.4l39",Budup 2% + AB 2%                         L
1242,",020.6.6...7617.7778.88.9.828967.76.l19",Budup 2% + AB 2%                       VL
1243,",6..6..86.77.666.76..656.666.6656..l12",Budup Lonza 4% + AB 2%           M
1244,",44.6.66.7.7.76.877.87.9.87.8768.77555153.l24",Budup 4% + AB 2%                       VL
1245,",-00...57.56.4785767.8.76.75.8.96.7788....l43",Untreated control
1246,",97.6899.9869.99.99.7.98.7.77.60...l64",Untreated control
1247,",-8588.98.9647799.-998.857l34",Budup 1% + AB 2%                        E
1248,",47.88.47.9.59.68.979.99.966.l57",Budup 1% + AB 2%                       VL
1249,",-29.793798879799.99899899856.l87",Budup 4% + AB 2%                        E
1250,",8730.77.767679577.6248.988869976.7747866...l8",6% HiCane                                        L
1251,",67.67.5..6.588.8.88-6.47.3.8867.l5",6% HiCane                                      VL
1252,",58.5..7.77.587.07-989978.l20",2% AB                                                M
1253,",--444.6679.98.9..9.8..9.85.9776.78.l66",Budup 6% + AB 2%                        M
1254,",..--2778865.7.99.98897158652..7l18",6% HiCane                                       M
1255,",0568507.8.66.8.66.7443l43",Budup 4% + AB 2%                        M
1256,",8.5597765279799.9.79.6988.99789743l17",Budup 1% + AB 2%                         L
1257,",06.6.7.7677.87.7728749699.6l22",Budup 1% + AB 2%                        M
1258,",887768775.47..387.992936........14.0l32",Budup 2% + AB 2%                        E
1259,",5696.689738.77.77718.7.9856.534l38",Budup 4% + AB 2%                         L
1260,",65.768676.5..732.8.767..7..63...0l12",Budup 6% + AB 2%                        E
1261,",32.-7695877878697.7599.958778778.0l56",Budup 2% + AB 2%                        M
1262,",23354.485367.579877.85.....8.4..5.4.4l54",6% HiCane + 0.2% Driftstop E         
1263,",333.45..6.66.6.7.47.6546.6747.8869.6816l22",Budup 6% + AB 2%                       VL
1264,",-6.54..-62.53.7.892959989998l7",Budup 6% + AB 2%                         L
1265,",636.7.8-68489588998482856544.0l11",Budup 4% + AB 2%                         L
1266,",.2.4.5636.7768.79.887679799661564.L25",Budup 1% + AB 2%                         L
1267,",3....6....1..66.5.76.6..9677.72L63",Untreated control
1268,",34...44413454.3.32..6.6.33L1",Budup 1% + AB 2%                        E
1269,",23..2..6.74..65655.657526545L1",2% AB                                                M
1270,",764.26.575.6..57434749897897777.5L8",Budup 4% + AB 2%                        E
1271,",34666487.988964699989779.4L126",6% HiCane + 0.2% Driftstop E         
1272,",4..52.679..8.4589877.89999.L17",Budup 2% + AB 2%                        M
1273,",47599899.99.5.9889.77.996998987.L119",6% HiCane                                      VL
1274,",0673613.14..98.9.-579888.86967875L69",6% HiCane                                       M
1275,",62...8.7..8.96.9..9.8799.L40",Budup 1% + AB 2%                       VL
1276,",-739998999999699949L50",Budup 1% + AB 2%                        M
1277,",---8749.9949779899..l84",Budup 2% + AB 2%                         L
1278,",7585.79899.9-9.99.89889.8.9999998l69",Budup 4% + AB 2%                        M
1279,",-9.7.978929999.8.68l61",Budup 6% + AB 2%                       VL
1280,",.--02.9828.97.7.08.6.9849.89.l53",Budup 6% + AB 2%                        M
1281,",89.6.8..8.966.2..74897.6..l24",Untreated control
1282,",7758.839.87.7..6.88.7..465988.8687...l7",6% HiCane                                        L
1283,",-588.680..8516...l9",Budup 2% + AB 2%                       VL
1284,",.35..3.73785.7.7.98.988778l38",Budup 4% + AB 2%                       VL
1285,",-24..8746865.44.67.6767.66.45642l12",Budup 2% + AB 2%                        E
1286,",-5.7-7587797878.7.l43",Budup 6% + AB 2%                        E
1287,",134..55.485.785.98.88.-88.867..7857.22.....l27",Budup Lonza 4% + AB 2%           M
1288,",6787.68.69..99.692.99.999.9754l21",Budup 6% + AB 2%                         L
1289,",-.03.6.7839739.9979696-9289.6L50",Budup 2% + AB 2%                       VL
1290,",86365..68.6......9.89.957.3L42",Untreated control
1291,",56-.5.65369----376865L40",6% HiCane + 0.2% Driftstop E         
1292,",-6638...969888.98.9.78.699198978.L67",Budup 6% + AB 2%                        E
1293,",--998839679969-6767L78",Budup 2% + AB 2%                        M
1294,",-7.-8..88.998.99789.89989.98.55781L73",2% AB                                                M
1295,",.-5.136675.3.7.4..9..9.99.89.9379.768.8.66..L44",Budup 1% + AB 2%                       VL
1296,",.--6.9..269.98.9.99.868848885.6L43",Budup 6% + AB 2%                       VL
1297,",.58698.88-9799..77.8699.9799.L30",Budup 2% + AB 2%                         L
1298,",4275788.6686.979.79.987985.6775L27",Budup Lonza 4% + AB 2%           M
1299,",76.8..88.67.8.9.6918776986L57",Budup 6% + AB 2%                        M
1300,",...-56688.7.7959.99.9..8641L6",Budup 4% + AB 2%                       VL
1301,",.78..9.9777.8.99.8.9969.89L23",Budup 6% + AB 2%                         L
1302,",4-55.6.0..6.6896.7..8.89.7577...0l14",6% HiCane                                      VL
1303,",---.6-65....7768.769..8789685.l40",Budup 1% + AB 2%                        E
1304,",147.6..767579.9..7999.9.78.9.79.877-4.l4",Budup 1% + AB 2%                         L
1305,",8749578.84879789.9889762487.63....0l4",Budup 2% + AB 2%                        E
1306,0-5.4544.5..8.48177.61.0...l7,Untreated control
1307,",04376.8.56.85.88.8.66..l1",Budup 4% + AB 2%                         L
1308,",--48759178.703-.9299.94...-l25",6% HiCane                                        L
1309,",40023.3..84888687878.4-34l34",6% HiCane                                       M
1310,",..68.-8.899888899788..8.l45",Budup 4% + AB 2%                        E
1311,",-395.8349.88-.946.6l35",Budup 4% + AB 2%                        M
1312,",-.7.045536366-6.978488698798...0l20",Budup 1% + AB 2%                        M
1313,",2.55898999.89869789799L59",Budup 2% + AB 2%                         L
1314,",66.5..57.45.68.7.7.8.77.876.L13",Untreated control
1315,",.7896.99.988.L29",Budup Lonza 4% + AB 2%           M
1316,",4674.........78.78.988989999989.9L96",Budup 1% + AB 2%                        E
1317,",86898.88.8998.9989-86.8979.L43",Budup 6% + AB 2%                         L
1318,",.3.8.777.848.8.86.9.96.9.79.5L32",Budup 6% + AB 2%                       VL
1319,",547.6.8.5.6.6819.9929787.8889.877764L42",Budup 1% + AB 2%                       VL
1320,",.809999.8909.9889..69.9857766.5L98",Budup 6% + AB 2%                        M
1321,",88-.99.4.6996..4.88.8757.8857.40L10",2% AB                                                M
1322,",46666.36.67.6756.7569.6873.2687.98.57.L7",6% HiCane                                        L
1323,",-.-7..527457559.89.986904898.9998.7L26",Budup 4% + AB 2%                        M
1324,",68584.52..399.8.598.96.989.98.8.74L32",Budup 4% + AB 2%                        E
1325,",6.5695.68.7.86.9..9.89.5.-375.6l33",Budup 2% + AB 2%                       VL
1326,",-44478.55.568.686625489.9.....72.....0..l20",Budup 6% + AB 2%                        E
1327,",--07058.6.8757.66.77725l33",Budup 2% + AB 2%                        M
1328,",...266678486.563999978889989..l18",Budup 4% + AB 2%                       VL
1329,",545.6..5.88.69..8.7.68.8.75..l12",Untreated control
1330,",36656.6.475678.98996959.87..879999987.l25",Budup 4% + AB 2%                         L
1331,",....----4--5.4--677--375--4267-4.l49",6% HiCane + 0.2% Driftstop E         
1332,",5.4.89079.9.88.95.9.5665l43",6% HiCane                                       M
1333,",789466..8.80.8.86599.6.7.55474..0.l24",6% HiCane                                      VL
1334,",0.877.7..9.89867.89.7747.242l28",Budup 1% + AB 2%                        M
1335,",----5..5887.7.48.76898.897.88.l44",Budup 2% + AB 2%                        E
1336,",.68478186.89.4.89.99.9.98.99.8.97.7.56l26",Budup 1% + AB 2%                         L
1337,",3544.5.6..7.88.7.8010L6",6% HiCane                                      VL
1338,",174.87.6.907-.79.9.99.765778746789.7877.6.L6",6% HiCane                                        L
1339,",469679.99.9209.9959499.9989.7844.75..L14",Budup 2% + AB 2%                         L
1340,",--358698....6748...4.6977.7868.L18",Budup 2% + AB 2%                        E
1341,",6065488855987.785648777790817..L2",6% HiCane                                       M
1342,",084898959.88.5989.99.9.99.86.54L7",Budup 1% + AB 2%                         L
1343,",--800978-.6.96.874.87888665L18",Budup 2% + AB 2%                        M
1344,",6276-59809.99.99.9.99.8898.997699.87776L24",Budup Lonza 4% + AB 2%           M
1345,",1454128659536--456--74544.354.L101",6% HiCane + 0.2% Driftstop E         
1346,",76.0.6...6..6.99.8.9.98.99.9.99.7867.7L20",Budup 6% + AB 2%                       VL
1347,",---7999999.7999.8889986.88.5L65",Budup 4% + AB 2%                        E
1348,",7759.9699.9885.9999.78.7.55L46",Untreated control
1349,",--5-7.99.9999797.l22",Budup 6% + AB 2%                         L
1350,",.7--55629099.87.4.5.l24",Budup 1% + AB 2%                        E
1351,",-7.87.958789.9-8.85.867.6.863.583.654l15",Budup 1% + AB 2%                        M
1352,",.3.4.78.7..5.87.69.5.99.6.38768885.l31",Budup 2% + AB 2%                       VL
1353,",68.689.89.-5.26.6.79.9.57.4475544.4l6",2% AB                                                M
1354,",.35....-4765.-9.86.788.3l5",Budup 1% + AB 2%                       VL
1355,",385890959977709177.7.88148.55990l21",Budup 4% + AB 2%                         L
1356,",-1-9399999867.87596785.76l35",Budup 4% + AB 2%                        M
1357,",3-564.85773-6740181568535l3",Budup 6% + AB 2%                        M
1358,",5-38.8.7439..475686879.6606.6l16",Budup 4% + AB 2%                       VL
1359,",66.6.85.5696.68.74.l25",Untreated control
1360,",---5-3.5676.86.5768.97477l46",Budup 6% + AB 2%                        E
1361,",969...99.8899.9999.99998.L89",Budup 1% + AB 2%                        M
1362,",-04.-.99.999.9.8.9.9939999896.L62",Budup 6% + AB 2%                       VL
1363,",-605.3.598.-7.9.7.89.7.98-8.77918998L74",Budup 4% + AB 2%                       VL
1364,",5-.....983.86.72782.9589.67.8.87.9269.9798.L46",Budup 2% + AB 2%                        M
1365,",77..8...67.89.9939.877--7.78663L66",Budup Lonza 4% + AB 2%           M
1366,",3969-92989.9988789.7.99.97182L91",Budup 1% + AB 2%                        E
