CaneNo,Trt/Timing
1195,BU 6% + 2% AB - E
1196,BU 2% + 2% AB - L
1197,BU 1% + 2% AB - M
1198,HC 6% + 0.2%DS - L
1199,Untreated control
1200,2% AB - M
1201,HC 6% + 0.2%DS - M
1202,BU 4% + 2% AB - E
1203,BU 2% + 2% AB - M
1204,BU 1% + 2% AB - E
1205,BU 6% + 2% AB - M
1206,HC 6% + 0.2%DS - L
1207,BU 6% + 2% AB - L
1208,BU 4% + 2% AB - L
1209,Untreated control
1210,Untreated control
1211,BU 1% + 2% AB - E
1212,BU 6% + 2% AB - E
1213,BU 2% + 2% AB - L
1214,2% AB - M
1215,BU 4% + 2% AB - M
1216,HC 6% + 0.2%DS - M
1217,BU Lonza 4% + 2% AB - M
1218,BU 1% + 2% AB - E
1219,Untreated control
1220,HC 6% + 0.2%DS - M
1221,BU 4% + 2% AB - E
1222,HC 6% + 0.2%DS - E
1223,BU 1% + 2% AB - M
1224,BU 2% + 2% AB - E
1225,BU Lonza 4% + 2% AB - M
1226,BU 6% + 2% AB - L
1227,BU 6% + 2% AB - M
1228,BU 2% + 2% AB - M
1229,BU 1% + 2% AB - L
1230,BU 6% + 2% AB - M
1231,BU 4% + 2% AB - E
1232,BU 2% + 2% AB - L
1233,BU 4% + 2% AB - L
1234,BU 6% + 2% AB - E
1235,BU 4% + 2% AB - M
1236,BU 1% + 2% AB - M
1237,Untreated control
1238,BU 1% + 2% AB - L
1239,HC 6% + 0.2%DS - L
1240,2% AB - M
1241,BU Lonza 4% + 2% AB - M
1242,BU 4% + 2% AB - L
1243,BU 2% + 2% AB - M
1244,Untreated control
1245,BU 2% + 2% AB - E
1246,BU 6% + 2% AB - L
1247,BU 6% + 2% AB - M
1248,BU 2% + 2% AB - M
1249,HC 6% + 0.2%DS - M
1250,BU 6% + 2% AB - E
1251,BU 1% + 2% AB - M
1252,BU 1% + 2% AB - L
1253,BU Lonza 4% + 2% AB - M
1254,HC 6% + 0.2%DS - E
1255,BU 2% + 2% AB - L
1256,BU 4% + 2% AB - L
1257,Untreated control
1258,BU 4% + 2% AB - L
1259,BU 2% + 2% AB - E
1260,BU 1% + 2% AB - M
1261,BU Lonza 4% + 2% AB - M
1262,BU 6% + 2% AB - E
1263,BU 4% + 2% AB - M
1264,HC 6% + 0.2%DS - L
1265,HC 6% + 0.2%DS - M
1266,Untreated control
1267,2% AB - M
1268,Untreated control
1269,BU 2% + 2% AB - M
1270,BU 1% + 2% AB - M
1271,HC 6% + 0.2%DS - E
1272,BU 4% + 2% AB - L
1273,BU 6% + 2% AB - E
1274,BU 6% + 2% AB - L
1275,2% AB - M
1276,BU 6% + 2% AB - L
1277,BU 6% + 2% AB - M
1278,BU 2% + 2% AB - E
1279,BU 4% + 2% AB - M
1280,BU 1% + 2% AB - L
1281,HC 6% + 0.2%DS - L
1282,BU 2% + 2% AB - L
1283,2% AB - M
1284,BU 2% + 2% AB - E
1285,HC 6% + 0.2%DS - M
1286,Untreated control
1287,BU 6% + 2% AB - M
1288,BU 4% + 2% AB - E
1289,BU 6% + 2% AB - E
1290,BU 1% + 2% AB - L
1291,BU 6% + 2% AB - M
1292,BU 2% + 2% AB - E
1293,HC 6% + 0.2%DS - E
1294,BU 1% + 2% AB - E
1295,BU 1% + 2% AB - L
