CaneID,WinterBuds,KingFlowers,LateralFlowers,BudBreak,VegetativeShoots,FloralShootPercentage,KingFlowersPerWinterBud,LateralFlowersPerWinterBud,KingFlowersPerFloralShoots
1001,34,120,43,61.76470588235294,0,60.60606060606061,3.6363636363636362,1.303030303030303,6
1002,38,161,40,65.78947368421053,0,65.78947368421053,4.2368421052631575,1.0526315789473684,6.44
1003,25,153,61,96,0,96,6.12,2.44,6.375
1004,36,171,28,72.22222222222221,1,69.44444444444444,4.75,0.7777777777777778,6.84
1005,25,121,28,80,0,80,4.84,1.12,6.05
1006,35,147,18,74.28571428571429,2,68.57142857142857,4.2,0.5142857142857142,6.125
1007,20,139,20,90,0,90,6.95,1,7.722222222222222
1008,36,135,41,63.888888888888886,3,55.55555555555556,3.75,1.1388888888888888,6.75
1009,30,92,0,66.66666666666667,2,60,3.066666666666667,0,5.111111111111111
1010,21,156,49,90.47619047619048,0,90.47619047619048,7.428571428571429,2.3333333333333335,8.210526315789474
1011,34,177,33,70.58823529411764,0,70.58823529411765,5.205882352941177,0.9705882352941176,7.375
1012,37,191,22,67.56756756756756,0,66.66666666666666,5.305555555555555,0.6111111111111112,7.958333333333333
1013,16,77,30,75,0,73.33333333333333,5.133333333333334,2,7
1014,27,167,25,81.4814814814815,0,81.48148148148148,6.185185185185185,0.9259259259259259,7.590909090909091
1015,24,106,34,66.66666666666667,0,66.66666666666666,4.416666666666667,1.4166666666666667,6.625
1016,25,127,70,80,0,79.16666666666666,5.291666666666667,2.9166666666666665,6.684210526315789
1017,28,154,0,78.57142857142857,0,78.57142857142857,5.5,0,7
1018,23,153,19,78.26086956521739,0,78.26086956521739,6.6521739130434785,0.8260869565217391,8.5
1019,26,95,27,57.692307692307686,0,56.00000000000001,3.8,1.08,6.785714285714286
1020,24,96,26,62.5,0,62.5,4,1.0833333333333333,6.4
1021,18,97,27,77.77777777777779,0,77.77777777777779,5.388888888888889,1.5,6.928571428571429
1022,27,139,39,77.77777777777779,0,77.77777777777779,5.148148148148148,1.4444444444444444,6.619047619047619
1023,33,152,17,69.6969696969697,0,68.75,4.75,0.53125,6.909090909090909
1024,39,122,68,69.23076923076923,2,58.82352941176471,3.588235294117647,2,6.1
1025,25,143,53,76,0,76,5.72,2.12,7.526315789473684
1026,22,121,55,86.36363636363636,0,85,6.05,2.75,7.117647058823529
1027,39,217,91,74.35897435897436,0,74.35897435897436,5.564102564102564,2.3333333333333335,7.482758620689655
1028,35,178,14,77.14285714285715,1,74.28571428571429,5.085714285714285,0.4,6.846153846153846
1029,27,94,8,77.77777777777779,3,66.66666666666666,3.4814814814814814,0.2962962962962963,5.222222222222222
1030,28,120,0,82.14285714285714,0,82.14285714285714,4.285714285714286,0,5.217391304347826
1031,37,183,24,75.67567567567568,1,72.97297297297297,4.945945945945946,0.6486486486486487,6.777777777777778
1032,38,199,21,71.05263157894737,0,71.05263157894737,5.2368421052631575,0.5526315789473685,7.37037037037037
1033,22,103,16,68.18181818181819,0,68.18181818181817,4.681818181818182,0.7272727272727273,6.866666666666666
1034,29,131,0,72.41379310344827,1,68.96551724137932,4.517241379310345,0,6.55
1035,36,215,51,80.55555555555556,0,80,6.142857142857143,1.457142857142857,7.678571428571429
1036,29,135,23,65.51724137931035,0,65.51724137931035,4.655172413793103,0.7931034482758621,7.105263157894737
1037,31,163,27,70.96774193548387,0,70.96774193548387,5.258064516129032,0.8709677419354839,7.409090909090909
1038,32,121,7,56.25,0,56.25,3.78125,0.21875,6.722222222222222
1039,34,225,12,85.29411764705883,0,85.29411764705883,6.617647058823529,0.35294117647058826,7.758620689655173
1040,30,94,6,60,3,48.275862068965516,3.2413793103448274,0.20689655172413793,6.714285714285714
1041,22,105,7,68.18181818181819,1,63.63636363636363,4.7727272727272725,0.3181818181818182,7.5
1042,16,99,26,81.25,0,81.25,6.1875,1.625,7.615384615384615
1043,17,95,33,88.23529411764706,1,80,6.333333333333333,2.2,7.916666666666667
1044,29,153,16,86.20689655172413,0,86.20689655172413,5.275862068965517,0.5517241379310345,6.12
1045,30,177,67,73.33333333333334,0,73.33333333333333,5.9,2.2333333333333334,8.045454545454545
1046,14,81,61,92.85714285714286,0,90.9090909090909,7.363636363636363,5.545454545454546,8.1
1047,20,78,13,60,0,57.89473684210527,4.105263157894737,0.6842105263157895,7.090909090909091
1048,19,106,31,73.6842105263158,0,73.68421052631578,5.578947368421052,1.631578947368421,7.571428571428571
1049,29,160,97,68.96551724137932,0,68.96551724137932,5.517241379310345,3.3448275862068964,8
1050,27,152,68,74.07407407407408,0,74.07407407407408,5.62962962962963,2.5185185185185186,7.6
1051,32,164,23,78.125,1,75,5.125,0.71875,6.833333333333333
1052,32,201,28,81.25,0,81.25,6.28125,0.875,7.730769230769231
1053,27,154,69,77.77777777777779,1,74.07407407407408,5.703703703703703,2.5555555555555554,7.7
1054,23,121,32,78.26086956521739,1,72.72727272727273,5.5,1.4545454545454546,7.5625
1055,36,193,77,80.55555555555556,0,80.55555555555556,5.361111111111111,2.138888888888889,6.655172413793103
1056,25,101,18,64,0,64,4.04,0.72,6.3125
1057,30,185,31,80,0,80,6.166666666666667,1.0333333333333334,7.708333333333333
1058,35,187,61,65.71428571428571,0,65.71428571428571,5.3428571428571425,1.7428571428571429,8.130434782608695
1059,31,184,60,83.87096774193549,1,80.64516129032258,5.935483870967742,1.935483870967742,7.36
1060,34,192,32,76.47058823529412,1,73.52941176470588,5.647058823529412,0.9411764705882353,7.68
1061,29,122,52,58.62068965517242,1,55.172413793103445,4.206896551724138,1.793103448275862,7.625
1062,33,190,62,81.81818181818181,2,75.75757575757575,5.757575757575758,1.878787878787879,7.6
1063,33,176,40,72.72727272727273,1,69.6969696969697,5.333333333333333,1.2121212121212122,7.6521739130434785
1064,31,164,86,77.41935483870968,0,77.41935483870968,5.290322580645161,2.774193548387097,6.833333333333333
1065,26,104,16,61.53846153846154,0,60,4.16,0.64,6.933333333333334
1066,16,61,44,87.5,0,81.81818181818183,5.545454545454546,4,6.777777777777778
1067,22,114,22,68.18181818181819,0,68.18181818181817,5.181818181818182,1,7.6
